passo,valor,antigo_saldo_pessoa1,novo_saldo_pessoa1,antigo_saldo_pessoa2,novo_saldo_pessoa2,fraude,tipo_transacao_debito,tipo_transacao_deposito,tipo_transacao_pagamento,tipo_transacao_saqu,tipo_transacao_saque,tipo_transacao_transferencia
1,181.0,181.0,0.0,0.0,0.0,1.0,False,False,False,False,False,True
1,181.0,181.0,0.0,21182.0,0.0,1.0,False,False,False,False,True,False
1,2806.0,2806.0,0.0,0.0,0.0,1.0,False,False,False,False,False,True
1,2806.0,2806.0,0.0,26202.0,0.0,1.0,False,False,False,False,True,False
1,20128.0,20128.0,0.0,0.0,0.0,1.0,False,False,False,False,False,True
1,20128.0,20128.0,0.0,6268.0,12145.85,1.0,False,False,False,False,True,False
1,416001.33,0.0,0.0,102.0,9291619.62,1.0,False,False,False,False,True,False
1,1277212.77,1277212.77,0.0,0.0,0.0,1.0,False,False,False,False,False,True
1,1277212.77,1277212.77,0.0,0.0,2444985.19,1.0,False,False,False,False,True,False
1,8094.53,50950.0,42855.47,0.0,0.0,0.0,False,False,True,False,False,False
1,35063.63,35063.63,0.0,0.0,0.0,1.0,False,False,False,False,False,True
1,35063.63,35063.63,0.0,31140.0,7550.03,1.0,False,False,False,False,True,False
1,1461.06,226.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False
1,8440.86,14189.75,5748.89,0.0,0.0,0.0,False,False,True,False,False,False
1,25071.46,25071.46,0.0,0.0,0.0,1.0,False,False,False,False,False,True
1,25071.46,25071.46,0.0,9083.76,34155.22,1.0,False,False,False,False,True,False
1,132842.64,4499.08,0.0,0.0,132842.64,1.0,False,False,False,False,True,False
1,3857.29,4455.25,597.96,0.0,0.0,0.0,False,False,True,False,False,False
1,235238.66,235238.66,0.0,0.0,0.0,1.0,False,False,False,False,False,True
1,235238.66,235238.66,0.0,0.0,235238.66,1.0,False,False,False,False,True,False
2,6190.73,4022.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False
2,101226.51,25259.53,0.0,236893.95,469207.53,0.0,False,False,False,False,True,False
2,9657.66,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False
2,1096187.24,1096187.24,0.0,0.0,0.0,1.0,False,False,False,False,False,True
2,1096187.24,1096187.24,0.0,0.0,1096187.24,1.0,False,False,False,False,True,False
2,89412.56,0.0,0.0,3452165.82,3541578.38,0.0,False,False,False,False,True,False
2,963532.14,963532.14,0.0,0.0,0.0,1.0,False,False,False,False,False,True
2,963532.14,963532.14,0.0,132382.57,1095914.71,1.0,False,False,False,False,True,False
2,14949.84,14949.84,0.0,0.0,0.0,1.0,False,False,False,False,False,True
2,14949.84,14949.84,0.0,18161.79,33111.63,1.0,False,False,False,False,True,False
2,5910.1,474663.45,468753.35,0.0,0.0,0.0,False,False,True,False,False,False
2,18627.02,18627.02,0.0,0.0,0.0,1.0,False,False,False,False,False,True
2,18627.02,18627.02,0.0,147251.58,165878.6,1.0,False,False,False,False,True,False
3,14546.82,1198.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False
3,14796.83,253246.63,238449.79,0.0,0.0,0.0,False,False,True,False,False,False
3,7531.23,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False
3,10539.37,10539.37,0.0,0.0,0.0,1.0,False,False,False,False,False,True
3,10539.37,10539.37,0.0,0.0,10539.37,1.0,False,False,False,False,True,False
3,22877.0,22877.0,0.0,0.0,0.0,1.0,False,False,False,False,False,True
3,22877.0,22877.0,0.0,0.0,22877.0,1.0,False,False,False,False,True,False
3,2204.12,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False
4,43896.22,102539.0,58642.78,167163.39,252667.53,0.0,False,False,False,False,False,True
4,10000000.0,12930418.44,2930418.44,0.0,0.0,1.0,False,False,False,False,False,True
4,10000000.0,10000000.0,0.0,0.0,9941904.21,1.0,False,False,False,False,True,False
4,2930418.44,2930418.44,0.0,0.0,0.0,1.0,False,False,False,False,False,True
4,2930418.44,2930418.44,0.0,3616012.1,6963508.84,1.0,False,False,False,False,True,False
4,169941.73,169941.73,0.0,0.0,0.0,1.0,False,False,False,False,False,True
4,169941.73,169941.73,0.0,0.0,169941.73,1.0,False,False,False,False,True,False
4,13707.11,13707.11,0.0,0.0,0.0,1.0,False,False,False,False,False,True
4,13707.11,13707.11,0.0,0.0,13707.11,1.0,False,False,False,False,True,False
4,86070.17,86070.17,0.0,0.0,0.0,1.0,False,False,False,False,False,True
4,86070.17,86070.17,0.0,0.0,86070.17,1.0,False,False,False,False,True,False
4,21885.09,71438.47,49553.38,0.0,0.0,0.0,False,False,True,False,False,False
5,120074.73,120074.73,0.0,0.0,0.0,1.0,False,False,False,False,False,True
5,120074.73,120074.73,0.0,0.0,120074.73,1.0,False,False,False,False,True,False
5,60726.57,60726.57,0.0,0.0,0.0,1.0,False,False,False,False,False,True
5,60726.57,60726.57,0.0,13010502.78,13071229.35,1.0,False,False,False,False,True,False
5,1281.34,10988.0,9706.66,0.0,0.0,0.0,False,False,True,False,False,False
5,10119.47,10119.47,0.0,0.0,0.0,1.0,False,False,False,False,False,True
5,10119.47,10119.47,0.0,0.0,10119.47,1.0,False,False,False,False,True,False
5,70830.43,0.0,0.0,156003.57,6100.96,0.0,False,False,False,False,True,False
6,33332.86,33332.86,0.0,0.0,0.0,1.0,False,False,False,False,False,True
6,33332.86,33332.86,0.0,31002.0,0.0,1.0,False,False,False,False,True,False
6,38755.91,11603.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False
6,25975.86,25975.86,0.0,0.0,0.0,1.0,False,False,False,False,False,True
6,25975.86,25975.86,0.0,98152.0,28041.27,1.0,False,False,False,False,True,False
6,26768.5,26768.5,0.0,0.0,0.0,1.0,False,False,False,False,False,True
6,26768.5,26768.5,0.0,101976.0,128744.5,1.0,False,False,False,False,True,False
